,has_domain,has_birth_date,has_photo,can_post_on_wall,can_send_message,has_website,gender,has_short_name,has_first_name,has_last_name,access_to_closed_profile,is_profile_closed,target,has_nickname,has_maiden_name,has_mobile,all_posts_visible,audio_available,has_interests,has_books,has_tv,has_quotes,has_about,has_games,has_movies,has_activities,has_music,can_add_as_friend,can_invite_to_group,subscribers_count,is_blacklisted,has_career,has_military_service,has_hometown,marital_status,has_universities,has_schools,has_relatives,is_verified,is_confirmed,has_status,posts_count,avg_likes,links_ratio,hashtags_ratio,avg_keywords,avg_text_length,attachments_ratio,avg_comments,reposts_ratio,ads_ratio,avg_views,posting_frequency_days,phone_numbers_ratio,avg_text_uniqueness,city,has_occupation,occupation_type_university,occupation_type_work,has_personal_data
2234,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,83,1,2,2,1
2235,0,1,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2236,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,181,1,2,2,1
2237,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2238,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2239,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2240,0,1,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2241,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2242,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2243,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2244,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2245,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.2,0.1,19.45,1858.9,0.9,0.0,1.0,0.0,0.55,0.01,0.0,0.7,319,1,2,2,1
2246,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1163,0,0,0,0,0,0,0,0,0,0,0,20.0,0.6,0.05,0.0,0.85,86.4,1.0,0.0,0.25,0.0,9.0,0.07,0.0,0.22,319,1,2,2,1
2247,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1121,0,0,0,0,0,0,0,0,0,0,2,20.0,0.0,0.15,0.45,6.9,486.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,319,1,2,2,1
